ubigeo,departamento,provincia,distrito,area_km2,n_ipress,n_camas,n_con_internamiento,n_ipress_hospitalaria,total_atenciones,total_atendidos,n_ipress_emergencia,mean_dist_km,median_dist_km,max_dist_km,n_ccpp,pct_beyond_10km,pct_beyond_25km,ipress_por_100km2,camas_por_100km2,internamiento_por_100km2,hospitalaria_por_100km2,tiene_emergencia_activa,log_atendidos,c_supply_base,c_emergency_base,c_spatial_base,c_activity_base,eai_baseline,quintil_baseline,rank_baseline,c_supply_alt,c_activity_alt,c_spatial_alt,c_emergency_alt,eai_alternative,quintil_alternative,rank_alternative,rank_change,abs_rank_change,eai_diff,quintil_changed
100902,HUANUCO,PUERTO INCA,CODO DEL POZUZO,3221.290697088139,8,0,0,0,0,0,0,10.599772303509125,8.391701112861288,25.442683900167854,69,0.463768115942029,0.028985507246376812,0.24834765788854568,0.0,0.0,0.0,0,0.0,0.012189026268304136,0.0,0.6453559291979867,0.0,0.19787293795330244,Q1 (Very low),58,0.012189026268304136,0.0,0.47316740890274867,0.0,0.16865584968303804,Q1 (Very low),75,-17,17,0.029217088270264396,False
100904,HUANUCO,PUERTO INCA,TOURNAVISTA,1739.8928528106376,4,0,0,0,0,0,0,6.9451810021522995,6.234665389610848,17.391765419380214,47,0.19148936170212766,0.0,0.2298992143992296,0.0,0.0,0.0,0,0.0,0.011370900783827971,0.0,0.715072271038152,0.0,0.21850149658578538,Q1 (Very low),115,0.011370900783827971,0.0,0.6284610206092269,0.0,0.2228040824091864,Q1 (Very low),181,-66,66,-0.004302585823401012,False
250305,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,205.2463481733523,2,0,0,0,50,49,2,2.090077784856844,2.005032167618947,6.133624135245895,14,0.0,0.0,0.9744387745748285,0.0,0.0,0.0,1,3.912023005428146,0.0373815340218723,0.2,0.8479041034238948,0.5992368665559882,0.3773784545904226,Q4 (High),1431,0.0373815340218723,0.5992368665559882,0.852548318601728,0.2,0.4675846683272705,Q4 (High),1472,-41,41,-0.09020621373684795,False
250302,UCAYALI,PADRE ABAD,IRAZOLA,1875.8632156267524,7,16,0,0,391,362,11,5.0338696961081775,4.490317385749203,16.234504567442958,28,0.10714285714285714,0.0,0.37316153660282747,0.8529406550921771,0.0,0.0,1,5.8944028342648505,0.04550168415812546,0.2,0.7537777533495273,0.7268724116584486,0.364746156626047,Q4 (High),1365,0.017425473271986,0.7268724116584486,0.7094495393137743,0.2,0.43803818940950723,Q4 (High),1395,-30,30,-0.07329203278346025,False
250304,UCAYALI,PADRE ABAD,NESHUYA,623.3843335877527,8,0,0,0,1613,1435,10,2.6526259517906916,2.7980777568530035,6.288735511772687,26,0.0,0.0,1.2833174606679227,0.0,0.0,0.0,1,7.269616749608169,0.04536823619388254,0.2,0.8243792655098674,0.7953458236619629,0.3927272446870154,Q5 (Very high),1530,0.04536823619388254,0.7953458236619629,0.8197653752818891,0.2,0.49732910512952444,Q5 (Very high),1574,-44,44,-0.10460186044250902,False
250301,UCAYALI,PADRE ABAD,PADRE ABAD,4712.969650996952,15,0,1,1,1263,1108,9,5.70940393256454,5.802901592051326,19.729158353784708,92,0.14130434782608695,0.0,0.31827066819382116,0.0,0.021218044546254745,0.021218044546254745,1,7.011213987350367,0.015183793273575386,0.2028412264806033,0.7388510481206426,0.7833941639346292,0.3560193650955579,Q4 (High),1325,0.01697910413224117,0.7833941639346292,0.6619073287472421,0.2028412264806033,0.43315941917764156,Q4 (High),1385,-60,60,-0.07714005408208363,False
250303,UCAYALI,PADRE ABAD,CURIMANA,1877.6515399804603,6,0,0,0,212,209,7,3.004552964015419,2.875897750268179,10.765405165456363,32,0.03125,0.0,0.31954810955298124,0.0,0.0,0.0,1,5.3471075307174685,0.015237015469159832,0.2,0.8114408774180366,0.695733542116583,0.36833857285127525,Q4 (High),1388,0.015237015469159832,0.695733542116583,0.7991687360970374,0.2,0.46266501992456965,Q4 (High),1450,-62,62,-0.0943264470732944,False
100901,HUANUCO,PUERTO INCA,PUERTO INCA,2388.7871369106006,10,0,0,0,0,0,1,6.790461060498651,5.434841414092979,20.639584375129445,70,0.22857142857142856,0.0,0.4186224819065679,0.0,0.0,0.0,1,0.0,0.019215220799703864,0.2,0.7178383597957868,0.0,0.2720768352186324,Q2 (Low),579,0.019215220799703864,0.0,0.6271737149770769,0.2,0.2643146054419029,Q1 (Very low),319,260,260,0.007762229776729523,True
250106,UCAYALI,CORONEL PORTILLO,NUEVA REQUENA,2059.9526387534634,8,0,0,0,119,115,10,3.672521955381577,3.3946968318083917,8.526194472091765,56,0.0,0.0,0.38835844327183316,0.0,0.0,0.0,1,4.7535901911063645,0.018030268179745654,0.2,0.7897421961100348,0.6587726210723952,0.359110514803161,Q4 (High),1340,0.018030268179745654,0.6587726210723952,0.7993426347528203,0.2,0.45603201342290256,Q4 (High),1436,-96,96,-0.09692149861974159,False
250102,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,1324.5751144184558,24,0,0,0,270,255,26,2.7553647817939257,2.308280956529518,9.8870065510392,69,0.0,0.0,1.811901774293639,0.0,0.0,0.0,1,5.545177444479562,0.05681053906292818,0.2,0.8204775794476113,0.7073024921904653,0.38675721172535477,Q4 (High),1496,0.05681053906292818,0.7073024921904653,0.839091125182718,0.2,0.4893450270177764,Q5 (Very high),1546,-50,50,-0.10258781529242161,True
