ubigeo,n_ipress,n_camas,n_con_internamiento,n_ipress_hospitalaria
030402,3,0,0,0
030403,2,0,0,0
030404,4,0,1,1
030405,1,0,0,0
030406,9,0,0,0
030407,2,0,0,0
030408,2,0,0,0
030409,4,0,0,0
030410,4,0,0,0
030411,1,0,0,0
030412,3,0,0,0
030413,2,0,0,0
030414,3,0,0,0
030415,4,0,0,0
030416,4,0,0,0
030417,2,0,0,0
030501,15,0,1,1
030502,4,0,1,1
030503,8,0,1,1
030504,14,0,1,1
030505,5,0,1,1
030506,17,0,2,1
030601,6,23,1,1
030602,6,0,2,1
030603,3,0,0,0
030604,9,0,1,1
030605,6,0,1,1
030606,9,0,0,0
030607,3,0,0,0
030608,6,0,0,0
030701,8,0,1,1
030702,4,0,0,0
030703,10,0,0,0
030704,5,0,0,0
030705,1,0,0,0
030706,1,0,0,0
030707,2,0,0,0
030708,5,0,0,0
030709,1,0,0,0
030710,2,0,0,0
030711,1,0,0,0
030712,1,0,1,1
030713,1,0,0,0
030714,2,0,0,0
040101,365,1320,9,15
040102,14,0,0,0
040103,53,57,2,2
040104,28,28,3,3
040105,1,0,0,0
040106,2,0,0,0
040107,16,0,1,1
040108,11,0,0,0
040109,12,22,3,3
040110,24,0,1,1
040111,2,0,0,0
040112,61,48,3,3
040113,2,0,0,0
040114,1,0,0,0
040115,1,0,0,0
040116,1,0,0,0
040117,5,0,0,0
040118,1,0,0,0
040119,2,0,0,0
040120,3,0,0,0
040121,2,0,0,0
040122,13,0,0,0
040123,3,0,0,0
040124,6,0,0,0
040125,3,0,0,0
040126,123,161,4,8
040127,1,0,0,0
040128,6,0,0,0
040129,38,0,0,0
040201,14,87,2,1
040202,3,0,0,0
040203,3,0,0,0
040204,3,0,0,0
040205,3,0,0,0
040206,3,0,0,0
040207,1,0,0,0
040208,6,11,1,1
040301,2,0,0,0
040302,2,0,0,0
040303,2,0,0,0
040304,2,0,0,0
040305,1,0,0,0
040306,3,0,0,0
040307,3,0,0,0
040308,2,0,0,0
040309,1,0,0,0
040310,1,0,0,0
040311,1,0,0,0
040312,1,0,0,0
040313,1,0,0,0
040401,7,32,1,1
040402,2,0,0,0
040403,1,0,0,0
040404,2,0,0,0
040405,2,0,0,0
040406,1,0,0,0
040407,1,0,0,0
040408,1,0,0,0
040409,3,0,0,0
040410,3,0,0,0
040411,2,0,0,0
040412,1,0,0,0
040413,5,0,1,1
040414,2,0,0,0
040501,4,0,1,1
040502,1,0,0,0
040503,2,0,0,0
040504,2,0,0,0
040505,3,0,0,0
040506,1,0,0,0
040507,1,0,0,0
040508,1,0,0,0
040509,1,0,0,0
040510,1,0,0,0
040511,3,0,0,0
040512,1,0,0,0
040513,1,0,0,0
040514,3,0,0,0
040515,1,0,0,0
040516,2,0,0,0
040517,3,0,0,0
040518,1,0,0,0
040519,1,0,0,0
040520,14,51,2,2
040601,2,0,1,1
040602,1,0,0,0
040603,3,0,0,0
040604,3,0,0,0
040605,1,0,0,0
040606,3,0,0,1
040607,2,0,0,0
040608,2,0,0,0
040701,14,33,2,2
040702,8,0,1,2
040703,3,0,0,0
040704,2,0,0,0
040705,1,0,0,0
040706,1,0,0,0
040801,2,0,1,1
040802,1,0,0,0
040803,2,0,0,0
040804,3,0,0,0
040805,3,0,0,0
040806,2,0,0,0
040807,1,0,0,0
040808,1,0,0,0
040809,1,0,0,0
040810,1,0,0,0
040811,2,0,0,0
050101,26,211,4,5
050102,5,0,0,0
050103,3,0,0,0
050104,5,0,0,0
050105,5,0,0,0
050106,6,0,0,0
050107,2,0,0,0
050108,3,0,0,0
050109,4,0,0,0
050110,5,66,2,2
050111,4,0,0,0
050112,5,0,0,0
050113,4,0,0,0
050114,10,0,0,0
050115,4,24,1,1
050116,5,0,0,0
050201,7,21,1,1
050202,6,0,0,0
050203,5,0,1,1
050204,2,0,0,0
050205,6,0,0,0
050206,3,0,0,0
050301,2,0,1,1
050302,4,0,0,0
050303,2,0,0,0
050304,4,0,0,0
050401,8,56,1,1
050402,5,0,0,0
050403,3,0,0,0
050404,3,0,0,0
050405,3,0,0,0
050406,4,0,1,1
050407,8,14,1,1
050408,9,0,1,1
050409,3,0,0,0
050410,6,0,0,0
050411,5,0,0,0
050412,1,0,0,0
050501,6,30,1,1
050502,8,0,0,0
050503,6,26,1,1
050504,2,0,0,0
050505,9,0,0,0
050506,1,0,0,0
050507,5,0,0,0
050508,6,0,1,1
050509,4,0,1,1
050510,2,0,0,0
050601,5,50,1,1
050602,4,0,0,0
050603,2,0,0,0
050604,1,0,1,1
050605,1,0,0,0
050606,4,0,0,0
050607,3,0,0,0
050608,2,0,0,0
050609,4,0,0,0
050610,3,0,0,0
050611,4,0,0,0
050612,3,0,0,0
050613,3,0,0,0
050614,1,0,0,0
050615,2,0,0,0
050616,1,0,0,0
050617,2,0,0,0
050618,2,0,0,0
050619,6,0,0,0
050620,1,0,0,0
050621,4,0,0,0
050701,9,50,1,1
050702,4,0,0,0
050703,3,0,0,0
050704,1,0,0,0
050705,4,0,0,0
050706,5,0,0,0
050707,1,0,0,0
050708,5,0,0,0
050801,3,0,1,1
050802,1,0,0,0
050803,1,0,0,0
050804,2,0,0,0
050805,1,0,0,0
050806,2,0,0,0
050807,1,0,0,0
050808,1,0,0,0
050809,1,0,0,0
050810,1,0,0,0
050901,4,0,1,1
050902,1,0,0,0
050903,1,0,0,0
050904,1,0,0,0
050905,1,0,0,0
050906,3,0,0,0
050907,2,0,0,0
050908,1,0,0,0
050909,3,0,0,0
050910,3,0,0,0
050911,1,0,0,0
051001,2,0,1,1
051002,3,0,0,0
051003,1,0,0,0
051004,3,0,0,0
051005,4,0,0,0
051006,1,0,0,0
051007,2,0,0,0
051008,3,0,0,0
051009,3,0,0,0
051010,2,0,0,0
051011,4,0,0,0
051012,4,0,0,0
051101,6,0,1,1
051102,3,0,0,0
051103,1,0,0,0
051104,2,0,0,0
051105,2,0,0,0
051106,2,0,0,0
051107,1,0,0,0
051108,6,0,0,0
060101,165,184,14,22
060102,3,0,0,0
060103,1,0,0,0
060104,3,0,0,0
060105,13,0,1,0
060106,6,0,0,0
060107,1,0,0,0
060108,7,0,1,1
060109,4,0,0,0
060110,1,0,0,0
060111,5,0,0,0
060112,1,0,0,0
060201,7,30,2,2
060202,9,0,0,0
060203,5,0,0,0
060204,6,0,0,0
060301,8,18,2,1
060302,2,0,0,0
060303,6,0,0,0
060304,9,0,0,0
060305,1,0,0,0
060306,2,0,0,0
060307,4,0,0,0
060308,4,0,0,0
060309,7,0,0,0
060310,3,0,0,0
060311,1,0,0,0
060312,3,0,0,0
060401,42,65,1,1
060402,5,0,0,0
060403,5,0,0,0
060404,6,0,0,0
060405,4,0,0,0
060406,4,0,0,0
060407,8,0,0,0
060408,7,0,0,0
060409,8,0,0,0
060410,15,0,0,0
060411,9,0,0,0
060412,6,0,0,0
060413,8,0,0,0
060414,4,0,0,0
060415,11,0,0,0
060416,3,0,0,0
060417,13,0,1,1
060418,1,0,0,0
060419,13,0,0,0
060501,6,0,1,1
060502,2,0,1,1
060503,2,0,0,0
060504,2,0,0,0
060505,3,0,0,0
060506,1,0,0,0
060507,1,0,0,0
060508,5,0,1,1
060601,58,29,4,2
060602,18,0,1,0
060603,4,0,1,0
060604,4,0,0,0
060605,8,0,1,0
060606,8,0,0,0
060607,23,0,1,0
060608,5,0,1,0
060609,4,0,0,0
060610,5,0,0,0
060611,7,0,0,0
060612,12,0,1,0
060613,12,0,1,0
060614,17,0,0,0
060615,2,0,0,0
060701,40,23,2,1
060702,3,0,0,0
060703,15,0,0,0
060801,97,110,14,7
060802,9,15,1,1
060803,4,0,0,0
060804,7,0,0,0
060805,8,0,0,0
060806,2,0,0,0
060807,6,0,0,0
060808,2,0,1,1
060809,6,0,0,0
060810,2,0,0,0
060811,8,0,0,0
060812,6,0,0,0
060901,18,21,1,1
060902,8,0,0,0
060903,13,0,0,0
060904,17,0,0,0
060905,6,0,0,0
060906,15,0,0,0
060907,9,0,0,0
061001,6,0,1,1
061002,3,0,0,0
061003,1,0,0,0
061004,5,0,0,0
061005,1,0,0,0
061006,1,0,0,0
061007,6,0,0,0
061101,8,0,1,1
061102,2,0,0,0
061103,3,0,0,0
061104,2,0,0,0
061105,5,0,0,0
061106,1,0,0,0
061107,7,0,0,0
061108,2,0,0,0
061109,4,0,0,0
061110,3,0,0,0
061111,6,0,0,0
061112,3,0,0,0
061113,2,0,0,0
061201,6,0,1,1
061202,3,0,0,0
061203,2,0,0,0
061204,3,0,0,0
061301,8,0,1,1
061302,1,0,0,0
061303,7,0,0,0
061304,6,0,0,0
061305,3,0,0,0
061306,3,0,0,0
061307,5,0,0,0
061308,2,0,0,0
061309,1,0,0,0
061310,3,0,0,0
061311,4,0,0,0
070101,298,325,8,8
070102,118,1380,7,8
070103,100,73,1,1
070104,78,0,1,0
070105,6,0,1,0
070106,165,84,5,4
070107,3,0,0,0
080101,219,310,7,11
080102,1,0,0,0
080103,1,0,0,0
080104,16,0,1,1
080105,28,0,2,0
080106,42,198,5,5
080107,1,0,0,0
080108,147,274,6,7
080201,2,0,1,1
080202,1,0,0,0
080203,1,0,0,0
080204,1,0,0,0
080205,3,0,1,1
080206,1,0,0,0
080207,2,0,0,0
080301,4,0,1,1
080302,1,0,0,0
080303,1,0,0,0
080304,2,0,0,0
080305,2,0,0,0
080306,3,0,1,1
080307,2,0,0,0
080308,1,0,0,0
080309,1,0,0,0
080401,5,0,1,1
080402,2,0,1,0
080403,4,0,0,0
080404,5,0,0,0
080405,4,0,1,1
080406,2,0,0,0
080407,3,0,0,0
080408,11,0,1,1
080501,3,0,1,1
080502,2,0,0,0
080503,1,0,1,1
080504,2,0,0,0
080505,1,0,0,0
080506,1,0,0,0
080507,2,0,0,0
080508,3,0,0,0
080601,24,98,3,4
080602,1,0,0,0
080603,2,0,1,1
080604,4,0,0,0
080605,2,0,0,0
080606,2,0,0,0
080607,1,0,0,0
080608,1,0,0,0
080701,11,35,1,1
080702,2,0,0,0
080703,5,0,0,0
080704,5,0,0,0
080705,5,0,1,1
080706,4,0,0,0
080707,3,0,0,0
080708,3,0,0,0
080801,15,32,3,3
080802,1,0,0,0
080803,3,0,0,0
080804,1,0,0,0
080805,1,0,0,0
080806,2,0,0,0
080807,1,0,0,0
080808,1,0,0,0
080901,39,128,3,3
080902,24,0,2,2
080903,6,0,0,0
080904,3,0,1,1
080905,3,0,0,0
080906,8,0,1,1
080907,13,43,1,1
080908,3,0,1,1
080909,11,0,1,1
080910,12,0,1,1
080911,5,0,0,0
080914,16,0,1,1
081001,1,0,1,1
081002,1,0,0,0
081003,2,0,0,0
081004,2,0,0,0
081005,1,0,0,0
081006,4,0,0,0
081007,1,0,0,0
081008,1,0,0,0
081009,1,0,0,0
081101,3,0,1,1
081102,2,0,0,0
081103,3,0,0,0
081104,5,0,0,0
081105,1,0,1,1
081106,2,0,0,0
081201,2,0,1,1
081202,1,0,0,0
081203,2,0,0,0
081204,1,0,0,0
081205,6,0,1,1
081206,2,0,0,0
081207,3,0,0,0
081208,1,0,0,0
081209,2,0,0,0
081210,2,0,1,1
081211,1,0,0,0
081212,2,0,1,1
081301,8,5,2,2
081302,2,0,1,1
081303,1,0,0,0
081304,11,0,1,1
081305,2,0,1,1
081306,4,0,1,1
081307,1,0,0,0
090101,27,126,1,1
090102,6,0,0,0
090103,28,0,0,0
090104,1,0,0,0
090105,3,0,0,0
090106,2,0,0,0
090107,1,0,0,0
090108,1,0,0,0
090109,2,0,0,0
090110,3,0,0,0
090111,1,0,0,0
090112,2,0,0,0
090113,2,0,0,0
090114,5,0,0,0
090115,1,0,0,0
090116,4,0,0,0
090117,24,0,1,1
090118,5,37,2,2
090119,7,0,1,1
090201,12,27,1,1
090202,4,0,0,0
090203,11,0,0,0
090204,4,0,0,0
090205,4,0,0,0
090206,11,0,1,1
090207,5,0,0,0
090208,10,0,0,0
090301,23,26,1,1
090302,7,0,0,0
090303,1,0,0,0
090304,5,0,0,0
090305,2,0,0,0
090306,5,0,0,0
090307,2,0,0,0
090308,1,0,0,0
090309,1,0,0,0
090310,2,0,0,0
090311,3,0,0,0
090312,3,0,0,0
090401,5,9,1,1
090402,4,0,0,0
090403,2,0,0,0
090404,4,0,0,0
090405,2,0,0,0
090406,1,0,0,0
090407,4,0,0,0
090408,1,0,0,0
090409,2,0,0,0
090410,2,0,0,0
090411,5,0,0,0
090412,2,0,0,0
090413,2,0,0,0
090501,3,8,1,1
090502,4,0,0,0
090503,4,0,0,0
090504,2,0,0,0
090505,1,0,0,0
090506,4,0,0,0
090507,4,0,0,0
090508,2,0,0,0
090509,5,0,0,0
090510,6,0,0,0
090511,3,0,0,0
090601,3,0,1,1
090602,2,0,0,0
090603,3,0,0,0
090604,1,0,0,0
090605,2,0,0,0
090606,3,0,0,0
090607,9,0,0,0
090608,1,0,0,0
090609,2,0,0,0
090610,2,0,0,0
090611,3,0,0,0
090612,1,0,0,0
090613,8,0,0,0
090614,1,0,0,0
090615,3,0,0,0
090616,1,0,0,0
090701,12,38,1,1
090702,6,0,0,0
090703,4,0,0,0
090704,5,0,0,0
090705,10,0,1,1
090706,4,0,0,0
090707,4,0,0,0
090709,6,0,0,0
090710,2,0,0,0
090711,6,0,0,0
090713,1,0,0,0
090714,5,0,0,0
090715,4,0,0,0
090716,4,0,0,0
090717,7,0,1,1
090718,4,0,0,0
090719,5,0,0,0
090720,3,0,0,0
090721,1,0,0,0
090722,2,0,0,0
100101,49,136,6,2
100102,11,88,3,3
100103,4,0,0,0
100104,7,0,0,0
100105,4,0,0,0
100106,3,0,0,0
100107,2,0,0,0
100108,3,0,0,0
100109,11,0,0,0
100110,3,0,0,0
100111,5,0,0,0
100112,4,0,0,0
100113,5,0,0,0
100201,7,0,0,0
100202,3,0,0,0
100203,3,0,0,0
100204,2,0,0,0
100205,4,0,0,0
100206,3,0,0,0
100207,10,0,0,0
100208,1,0,0,0
100301,2,0,1,1
100307,4,0,0,0
100311,5,0,0,0
100313,6,0,0,0
100316,1,0,0,0
100317,3,0,0,0
100321,2,0,0,0
100322,1,0,0,0
100323,1,0,0,0
100401,3,0,0,0
100402,2,0,0,0
100403,2,0,0,0
100404,3,0,0,0
100501,7,12,1,1
100502,1,0,0,0
100503,3,0,0,0
100504,5,0,0,0
100505,1,0,0,0
100506,1,0,0,0
100507,10,0,0,0
100508,1,0,0,0
100509,3,0,0,0
100510,4,0,0,0
100511,3,0,0,0
100601,12,19,1,1
100602,4,0,0,0
100603,6,0,0,0
100604,6,0,1,1
100605,7,75,1,1
100606,5,0,0,0
100607,3,0,0,0
100608,1,0,0,0
100609,1,0,0,0
100610,1,0,0,0
100701,8,0,0,0
100702,5,0,0,0
100703,3,0,0,0
100704,1,0,0,0
100801,5,0,0,0
100802,4,0,0,0
100803,5,0,0,0
100804,4,0,0,0
100901,10,0,0,0
100902,8,0,0,0
100903,6,0,0,0
100904,4,0,0,0
100905,6,0,0,0
101001,3,0,0,0
101002,3,0,0,0
101003,1,0,0,0
101004,1,0,0,0
101005,9,0,0,0
101006,2,0,0,0
101007,3,0,0,0
101101,5,0,0,0
101102,1,0,0,0
101103,2,0,0,0
101104,3,0,0,0
101105,1,0,0,0
101106,5,0,0,0
101107,1,0,0,0
101108,2,0,0,0
110101,109,326,14,18
110102,3,0,0,0
110103,6,3,0,0
110104,4,0,0,0
110105,2,0,0,0
110106,6,6,1,1
110107,5,0,0,0
110108,6,3,1,1
110109,4,0,0,0
110110,3,0,0,0
110111,6,4,1,2
110112,7,0,0,0
110113,4,0,0,0
110114,4,0,0,0
110201,44,181,7,7
110202,3,0,0,0
110203,1,0,0,0
110204,3,0,0,0
110205,4,0,0,0
110206,3,0,0,0
110207,11,8,1,1
110208,2,0,0,0
110209,4,0,0,0
110210,2,0,0,0
110211,2,0,0,0
110301,16,19,1,1
110302,4,0,0,0
110303,3,0,0,0
110304,8,11,2,2
110305,7,0,0,0
110401,13,22,1,1
110402,1,0,0,0
110403,4,0,0,0
110404,3,0,0,0
110405,1,0,0,0
110501,32,145,4,4
110502,2,0,0,0
110503,4,0,0,0
110504,6,0,0,0
110505,6,0,0,0
110506,4,0,0,0
110507,5,0,0,1
110508,5,0,1,1
120101,244,356,12,8
120104,1,0,0,0
120105,4,0,0,0
120106,3,0,0,0
120107,28,25,2,1
120108,1,0,0,0
120111,3,0,0,0
120112,2,0,0,0
120113,4,0,0,0
120114,100,268,9,6
120116,1,0,0,0
120117,1,0,0,0
120119,2,0,0,0
120120,1,0,0,0
120121,2,0,0,0
120122,2,0,0,0
120124,10,0,0,0
120125,1,0,0,0
120126,5,0,0,0
120127,1,0,0,0
120128,2,0,0,0
120129,2,0,0,0
120130,1,0,0,0
120132,1,0,0,0
120133,6,0,0,0
120134,1,0,0,0
120135,9,0,0,0
120136,1,0,0,0
120201,3,12,1,1
120202,3,0,0,0
120203,4,0,0,0
120204,4,0,0,0
120205,4,0,0,0
120206,7,0,0,0
120207,1,0,0,0
120208,1,0,0,0
120209,1,0,0,0
120210,3,0,0,0
120211,3,0,0,0
120212,1,0,0,0
120213,2,0,0,0
120214,6,0,0,0
120215,2,0,0,0
120301,39,114,2,1
120302,28,9,1,1
120303,34,43,1,1
120304,4,0,0,0
120305,13,0,2,2
120306,3,0,0,0
120401,8,119,2,1
120402,7,0,0,0
120403,5,0,0,0
120404,1,0,0,0
120405,2,0,0,0
120406,1,0,0,0
120407,1,0,0,0
120408,1,0,0,0
120409,1,0,0,0
120410,1,0,0,0
120411,1,0,0,0
120412,1,0,0,0
120413,1,0,0,0
120414,2,0,0,0
120415,1,0,0,0
120416,2,0,0,0
120417,1,0,0,0
120418,3,0,0,0
120419,2,0,0,0
120420,1,0,0,0
120421,3,0,0,0
120422,2,0,0,0
120423,4,0,0,0
120424,2,0,0,0
120425,2,0,0,0
120426,3,0,0,0
120427,2,0,0,0
120428,1,0,0,0
120429,1,0,0,0
120430,1,0,0,0
120431,5,0,0,0
120432,1,0,0,0
120433,1,0,0,0
120434,2,0,0,0
120501,4,50,1,1
120502,1,0,0,0
120503,3,0,0,0
120504,15,0,0,0
120601,20,18,1,1
120602,6,0,0,0
120603,3,0,0,0
120604,14,0,1,1
120605,6,0,0,0
120606,42,18,1,1
120607,16,0,1,0
120608,24,0,0,0
120701,19,111,2,1
120702,6,0,1,1
120703,3,0,0,0
120704,7,0,1,1
120705,5,0,0,0
120706,8,0,0,0
120707,7,0,0,0
120708,7,0,0,0
120709,6,0,0,0
120801,8,0,1,1
120802,1,0,0,0
120803,2,0,0,0
120804,3,0,0,0
120805,7,0,0,0
120806,1,0,0,0
120807,2,0,0,0
120808,4,47,2,1
120809,1,0,0,0
120810,5,0,0,0
120901,4,0,1,1
120902,2,0,0,0
120903,2,0,0,0
120904,4,0,0,0
120905,2,0,0,0
120906,3,0,0,0
120907,2,0,0,0
120908,1,0,0,0
120909,2,0,0,0
130101,266,844,27,22
130102,22,26,4,3
130103,7,26,2,2
130104,10,0,2,2
130105,26,29,6,4
130106,4,10,1,1
130107,8,21,3,3
130108,1,0,0,0
130109,3,0,1,1
130110,1,0,0,0
130111,24,14,2,2
130201,2,9,2,2
130202,5,9,1,1
130203,5,74,1,1
130204,1,0,0,0
130205,3,0,1,1
130206,2,0,0,0
130207,4,0,0,0
130208,4,13,1,1
130301,2,8,1,1
130302,2,0,0,0
130303,1,0,0,0
130304,2,0,0,0
130305,1,0,0,0
130306,1,0,0,0
130401,5,123,2,2
130402,2,0,0,0
130403,3,0,0,0
130501,7,15,1,1
130502,5,6,1,1
130503,3,0,0,0
130504,7,3,1,1
130601,10,24,1,1
130602,10,3,0,1
130604,4,0,0,0
130605,2,0,0,0
130606,1,2,0,0
130608,3,0,0,0
130610,1,0,0,0
130611,4,0,0,0
130613,3,0,0,0
130614,10,3,1,1
130701,4,19,1,1
130702,7,12,1,1
130703,2,4,0,0
130704,4,20,2,2
130705,3,2,0,0
130801,4,4,1,1
130802,4,0,0,0
130803,5,0,0,0
130804,3,0,0,0
130805,1,0,0,0
130806,3,0,0,0
130807,2,0,0,0
130808,8,0,2,2
130809,11,0,1,1
130810,1,0,0,0
130811,2,0,0,0
130812,1,0,0,0
130813,2,0,0,0
130901,15,17,2,1
130902,6,0,0,0
130903,5,9,1,0
130904,1,2,1,0
130905,6,3,1,1
130906,4,8,1,0
130907,5,0,0,0
130908,4,2,1,1
131001,10,15,1,1
131002,2,2,1,1
131003,1,3,1,1
131004,2,0,0,0
131005,2,0,0,0
131006,9,3,1,1
131007,3,0,0,0
131008,4,0,0,0
131101,5,12,1,1
131102,5,0,0,0
131103,3,0,0,0
131104,4,0,0,0
131201,15,24,2,1
131202,11,4,0,0
131203,1,0,0,0
140101,389,828,26,11
140102,4,8,0,0
140103,3,0,0,0
140104,1,0,0,0
140105,25,16,5,0
140106,22,6,2,1
140107,6,0,0,0
140108,9,0,1,1
140109,2,0,0,0
140110,5,0,0,0
140111,4,0,0,0
140112,11,117,3,3
140113,4,0,0,0
140114,1,0,0,0
140115,5,0,0,0
140116,3,0,0,0
140117,7,0,0,0
140118,7,0,0,0
140119,3,0,0,0
140120,5,0,1,1
140201,12,40,3,1
140202,10,0,0,0
140203,13,0,0,0
140204,1,0,0,0
140205,10,0,0,0
140206,5,17,1,0
140301,19,6,3,2
140302,1,0,0,0
140303,3,0,0,0
140304,3,0,0,0
140305,7,0,0,0
140306,21,6,0,0
